"CENSUS_ID","LENGTH","PRE_DIR","the_geom","STREET_NAM","STREET_TYP","SUF_DIR","ROUTE_NUMB","CFCC","F_ZLEVEL","T_ZLEVEL","TRAVEL_DIR","ONEWAY","SPEED","L_MUNI","R_MUNI","GlobalID"
"41,036","147.91",,"MULTILINESTRING ((-77.05314576270922 38.994484389684445, -77.05345332581743 38.99466701051613, -77.05355101692804 38.99473852603595))","GRUBB","RD",,,"A30","0","0","2",,"40","MCG","MCG","00b9ca4f-5c56-4391-bbf8-288ab87469d4"
"89,074","249.408",,"MULTILINESTRING ((-77.09671378663244 38.98623154728643, -77.09661499279831 38.986343945146565, -77.09618681723266 38.9867788920902))","WOODMONT","AVE",,,"A40","0","0","2",,"30","MCG","MCG","20c145d9-ff55-4e1a-bf45-e851ddbd323a"
"35,090","368.509",,"MULTILINESTRING ((-77.02414042770965 38.994414774768615, -77.02415984890597 38.994620355763026, -77.02417218680753 38.99468899565069, -77.02418716358297 38.994757634990535, -77.02420389962244 38.99482627396349, -77.02422283474043 38.99489491337851, -77.0242444087524 38.994963551341854, -77.02426730223614 38.995032189026524, -77.0242963531106 38.99510082542704, -77.02432672347382 38.99516946154501, -77.02442224071386 38.9953977641931))","FENTON","ST",,,"A30","0","0","2",,"40","MCG","MCG","5b5f05f6-e29c-4f5d-8aa2-2a157093fb0b"
"29,264","470.867",,"MULTILINESTRING ((-77.00905195885072 38.9943728130691, -77.00895656277342 38.99470547949308, -77.00891568261724 38.994881207242784, -77.00890294392983 38.99501669143474, -77.00890735541877 38.9951237741881, -77.00893507763257 38.9952273365608, -77.00898874621369 38.9953193132995, -77.00905780676386 38.99539867555051, -77.0091572209165 38.99552754441006, -77.00922320032821 38.99558502770508))","DALE","DR",,,"A30","0","0","2",,"40","MCG","MCG","08519c34-34ac-4042-940b-f72ae909753b"
"120,448","1,166.32",,"MULTILINESTRING ((-77.19688519239867 38.99418491209623, -77.19743089206865 38.995418188891776, -77.1976535131939 38.99592053518719, -77.1982315031077 38.99721004018536))","OAKLYN","DR",,,"A30","0","0","2",,"35","MCG","MCG","0bb3bcf2-2340-4029-b131-ae422dad9ee0"
"112,800","1,027.6",,"MULTILINESTRING ((-77.21585017638246 38.99406385057145, -77.21603242389241 38.994119285838515, -77.21620944285637 38.994190433613745, -77.2168508367924 38.994385993116836, -77.21782942949245 38.99468028324986, -77.21797602225286 38.99472445584078, -77.2182023182237 38.99480082812079, -77.21832341330025 38.99484890965703, -77.21852161269037 38.99494137919148, -77.2186789002642 38.99503100711273, -77.21891159839565 38.99518647712601, -77.21905359663566 38.99530925276614))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","123ca5d1-3448-499d-8ea5-0bde70e3f0e5"
"119,532","857.333",,"MULTILINESTRING ((-77.19007389473478 38.99615884453002, -77.19057410157343 38.995386400888975, -77.1911180765697 38.99453871983779, -77.19128374244376 38.994322138432246, -77.19143741134063 38.99406001556871))","OAKLYN","DR",,,"A30","0","0","2",,"35","MCG","MCG","4e4d7cb4-2e61-4176-ba51-7e271b24927e"
"106,047","621.089",,"MULTILINESTRING ((-77.22930915432858 38.99379885023692, -77.229423987881 38.99394895250779, -77.22957690926366 38.99418135111007, -77.22971585223823 38.9944430365607, -77.23005096395444 38.99511687943726, -77.2301177512586 38.995233183839034, -77.23015970729217 38.995286985774094, -77.23021662942583 38.995344619165266))","MAC ARTHUR","BLVD",,,"A30","0","0","2",,"30","MCG","MCG","ffd882b9-8ba3-40e4-a0b9-94d607eaf021"
"114,309","657.694",,"MULTILINESTRING ((-77.18444732840607 38.99379427223432, -77.1845742938046 38.99391084994697, -77.18471459342514 38.99408129179391, -77.18476176564683 38.99412489091619, -77.1848177567094 38.99417722846608, -77.18495436104791 38.994278690063204, -77.18513646456789 38.99445704476599, -77.18543282757629 38.994769156716394, -77.18556422730047 38.99489791081421, -77.18589091987954 38.995201908415346))","PERSIMMON TREE","RD",,,"A30","0","0","2",,"30","MCG","MCG","bc1c9a41-cc29-45e5-9209-f939f0e7276e"
"41,035","358.895",,"MULTILINESTRING ((-77.05215091318121 38.99387769403677, -77.05226399900461 38.99395306469077, -77.05253239836883 38.99411476950453, -77.05314576270922 38.994484389684445))","GRUBB","RD",,,"A30","0","0","2",,"40","MCG","MCG","58e332c6-f4de-4d09-9c13-69406ba55e2e"
"112,799","423.8",,"MULTILINESTRING ((-77.21446132591089 38.99364450864595, -77.21463477034503 38.99369833264291, -77.21484346950083 38.99377543013591, -77.21547693120726 38.99396826693841, -77.2155578946634 38.99398090224127, -77.21570226960358 38.994020192107754, -77.21585017638246 38.99406385057145))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","6875eca6-ae67-41cc-9abf-5d351845ae8f"
"132,908","63.261",,"MULTILINESTRING ((-77.0519692013615 38.99377738486097, -77.05215091318121 38.99387769403677))","GRUBB","RD",,,"A30","0","0","2",,"40","MCG","MCG","7e9f11b8-e523-44fd-a993-87c601613719"
"129,073","438.461",,"MULTILINESTRING ((-77.09729830623527 38.99369844119097, -77.09745139849522 38.994371526249054, -77.09745058602255 38.99442060719764, -77.09744669173382 38.9944673729034, -77.09744058784497 38.99450641862102, -77.09743448171938 38.99454383385589, -77.0974248550183 38.99457970711615, -77.09741698120115 38.99461094599904, -77.09740690822304 38.99464210113453, -77.0973990280569 38.99466870710462, -77.09738498822935 38.99469360123934, -77.09736699457812 38.99472175963103, -77.09734900079573 38.994749832442, -77.09733320604037 38.99477790342033, -77.0973169672445 38.99480288585461, -77.09730116402679 38.994824779013015, -77.0972831532015 38.99484040970405, -77.09726206710535 38.994858531914296))","WOODMONT","AVE",,,"A40","0","0","2",,"30","MCG","MCG","6c4bd89a-645e-4f1d-a1e3-3552336337f3"
"29,263","274.848",,"MULTILINESTRING ((-77.00902636467289 38.99369857329713, -77.00915831023057 38.99373751718024, -77.00917415539251 38.99383292984051, -77.00914031364015 38.99401260453939, -77.00905195885072 38.9943728130691))","DALE","DR",,,"A30","0","0","2",,"40","MCG","MCG","38289c1d-a518-4c49-b95f-4d0acbcf66d4"
"132,904","67.5692",,"MULTILINESTRING ((-77.05178176259133 38.993663263866594, -77.0519692013615 38.99377738486097))","GRUBB","RD",,,"A30","0","0","2",,"25","MCG","MCG","aa31d7eb-f1cb-4eb7-b039-ea74b2bb99c2"
"103,178","344.016",,"MULTILINESTRING ((-77.21332915670654 38.99331246031072, -77.21342995225191 38.99333956235089, -77.21351185479111 38.993372790148236, -77.2139296090062 38.99349995985565, -77.21446132591089 38.99364450864595))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","b10992ed-a985-4856-b678-f1a915f1dab1"
"41,034","268.756",,"MULTILINESTRING ((-77.05103597142475 38.99320960730926, -77.05178176259133 38.993663263866594))","GRUBB","RD",,,"A30","0","0","2",,"25","MCG","MCG","61f08329-6eab-43fd-8978-1ebfeb98d6a7"
"17,369","420.748",,"MULTILINESTRING ((-77.21194607489161 38.99290080163957, -77.21215474031224 38.99296794990967, -77.21332915670654 38.99331246031072))","BRICKYARD","RD",,,"A30","0","0","2",,"30","MCG","MCG","857f3755-5f74-4708-9bfd-ccebd1f13537"
"13,825","8.3031",,"MULTILINESTRING ((-77.09604929623796 38.99274311051493, -77.09607832043588 38.99274051213576))","BATTERY","LN",,,"A30","0","0","2",,"40","MCG","MCG","3d93a4ab-fd79-41f3-ada3-75cd94b68877"
